id,en,ru
building_new.floor_4.disabledToilet_2,2,2
building_new.floor_4.room_408_r,408,408
building_new.floor_4.room_407_r,407,407
building_new.floor_4.elevator_7,7,7
building_new.floor_4.elevator_8,8,8
building_new.floor_4.toilet_6,6,6
building_new.floor_4.toilet_7,7,7
building_new.floor_4.room_421_r,421,421
building_new.floor_4.room_420_r,420,420
building_new.floor_4.room_419_r,419,419
building_new.floor_4.stair_13,13,13
building_new.floor_4.room_417_r,417,417
building_new.floor_4.room_416_r,416,416
building_new.floor_4.elevator_9,9,9
building_new.floor_4.elevator_10,10,10
building_new.floor_4.room_414_r,414,414
building_new.floor_4.room_413_r,413,413
building_new.floor_4.room_412_r,412,412
building_new.floor_4.room_415_r,415,415
building_new.floor_4.room_425_r,425,425
building_new.floor_5.stair_0,0,0
building_new.floor_5.room_5238_n,5238,5238
building_new.floor_5.room_5239_n,5239,5239
building_new.floor_5.room_5240_n,5240,5240
building_new.floor_5.disabledToilet_0,0,0
building_new.floor_5.toilet_0,0,0
building_new.floor_5.room_5274_n,5274,5274
building_new.floor_5.room_5273_n,5273,5273
building_new.floor_5.room_5272_n,5272,5272
building_new.floor_5.room_5271_n,5271,5271
building_new.floor_5.room_5249_n,5249,5249
building_new.floor_5.room_5250_n,5250,5250
building_new.floor_5.stair_1,1,1
building_new.floor_5.room_5269_n,5269,5269
building_new.floor_5.room_5268_n,5268,5268
building_new.floor_5.room_5267_n,5267,5267
building_new.floor_5.room_5266_n,5266,5266
building_new.floor_5.room_5265_n,5265,5265
building_new.floor_5.room_5264_n,5264,5264
building_new.floor_5.room_5251_n,5251,5251
building_new.floor_5.room_5252_n,5252,5252
building_new.floor_5.room_5253_n,5253,5253
building_new.floor_5.room_5255_n,5255,5255
building_new.floor_5.room_5256_n,5256,5256
building_new.floor_5.room_5263_n,5263,5263
building_new.floor_5.room_5262_n,5262,5262
building_new.floor_5.room_5261_n,5261,5261
building_new.floor_5.stair_2,2,2
building_new.floor_5.room_5258_n,5258,5258
building_new.floor_5.room_5260_n,5260,5260
building_new.floor_5.elevator_0,0,0
building_new.floor_5.room_5202_n,5202,5202
building_new.floor_5.room_5203_n,5203,5203
building_new.floor_5.room_5234_n,5234,5234
building_new.floor_5.room_5233_n,5233,5233
building_new.floor_5.room_5204_n,5204,5204
building_new.floor_5.room_5205_n,5205,5205
building_new.floor_5.toilet_1,1,1
building_new.floor_5.stair_3,3,3
building_new.floor_5.room_5226_n,5226,5226
building_new.floor_5.room_5207_n,5207,5207
building_new.floor_5.room_5208_n,5208,5208
building_new.floor_5.room_5225_n,5225,5225
building_new.floor_5.room_5224_n,5224,5224
building_new.floor_5.room_5209_n,5209,5209
building_new.floor_5.room_5210_n,5210,5210
building_new.floor_5.room_5222_n,5222,5222
building_new.floor_5.room_5211_n,5211,5211
building_new.floor_5.room_5221_n,5221,5221
building_new.floor_5.room_5212_n,5212,5212
building_new.floor_5.room_5213_n,5213,5213
building_new.floor_5.stair_4,4,4
building_new.floor_5.room_5214_n,5214,5214
building_new.floor_5.room_5215_n,5215,5215
building_new.floor_5.room_5219_n,5219,5219
building_new.floor_5.room_5218_n,5218,5218
building_new.floor_5.room_5216_n,5216,5216
building_new.floor_5.room_506_r,506,506
building_new.floor_5.room_507_r,507,507
building_new.floor_5.room_521_r,521,521
building_new.floor_5.elevator_1,1,1
building_new.floor_5.elevator_2,2,2
building_new.floor_5.room_520_r,520,520
building_new.floor_5.room_519_r,519,519
building_new.floor_5.room_518_r,518,518
building_new.floor_5.toilet_2,2,2
building_new.floor_5.toilet_3,3,3
building_new.floor_5.room_511_r,511,511
building_new.floor_5.room_512_r,512,512
building_new.floor_5.stair_5,5,5
building_new.floor_5.room_517_r,517,517
building_new.floor_5.room_513_r,513,513
building_new.floor_5.room_514_r,514,514
building_new.floor_5.room_524_r,524,524
building_new.floor_5.room_515_r,515,515
building_new.floor_5.room_516_r,516,516
building_new.floor_5.elevator_3,3,3
building_new.floor_5.elevator_4,4,4
building_new.floor_0.room_043_r,043,043
building_new.floor_0.room_013_r,013,013
building_new.floor_0.room_014_r,014,014
building_new.floor_0.room_017_r,017,017
